word;polarity
ассоциация;0
ассоциироваться;0
ассоциироваться;0
ассоциироваться;0
ассоциироваться;0
ассоциироваться;0
астма;0
астма;0
астма;0
астма;0
астма;0
астматик;0
астматик;0
астматик;0
астматик;0
астрономический;0
астрономический;0
астрономический;0
астрономический;0
астрономический;0
асфальт;0
асфальт;0
асфальт;0
асфиксия;0
асфиксия;0
асфиксия;-1
атака;0
атака;0
атака;-1
атеизм;0
атеизм;0
атеизм;0
атеизм;0
атеизм;0
атеист;0
атеист;0
атеист;0
атеистический;0
атеистический;0
атеистический;0
атеистический;0
атеистический;0
атеросклероз;0
атеросклероз;0
атеросклероз;-1
атеросклероз;0
атеросклероз;-1
атеросклероз;0
атмосфера;1
атмосфера;0
атмосфера;0
атмосфера;0
атмосфера;0
атмосферный;0
атмосферный;2
атмосферный;1
атмосферный;0
атомный;0
атомный;0
атомный;0
атомный;-1
аутентичный;1
аутентичный;0
аутентичный;1
аутентичный;0
аутентичный;0
аутентичный;0
аутсайдер;-1
аутсайдер;-1
аутсайдер;0
афганистан;0
афганистан;0
афганистан;0
афганистан;-1
афера;-1
афера;-1
афера;-1
аферист;-1
аферист;-1
аферист;-1
аферист;-1
аферист;-1
аферист;-2
афинский;0
афинский;0
афинский;0
афинский;0
афинский;0
африка;0
африка;0
африка;0
африканец;0
африканец;0
африканец;0
африканский;0
африканский;0
африканский;0
ах;0
ах;0
ах;0
ахинея;-1
ахинея;-2
ахинея;-2
ахинея;-2
ахти;0
ахти;-1
ахти;-1
ашан;0
ашан;0
ашан;0
аэс;0
аэс;0
аэс;0
ба;0
ба;0
ба;0
баба;0
баба;-1
баба;-1
баба;-1
баба;-2
бабка;-1
бабка;0
бабка;-2
бабник;-1
бабник;-1
бабник;-2
бабник;-2
бабский;-1
бабский;-1
бабский;-1
бабский;-1
бабский;-1
бабский;-1
бабский;-1
бабский;-2
базар;-1
базар;-1
базар;-1
базар;-1
базарить;-1
базарить;0
базарить;-2
байка;-1
байка;0
байка;-1
байка;-1
байка;-1
байка;0
байка;0
байка;0
байкал;0
байкал;0
байкал;0
бак;0
бак;0
бак;0
бак;0
бакс;0
бакс;0
бакс;0
бактерия;0
бактерия;0
бактерия;0
балаболка;-1
балаболка;-1
балаболка;-1
балаган;-1
балаган;-1
балаган;-1
баланс;0
баланс;0
баланс;0
балбес;-2
балбес;-1
балбес;-1
балда;-1
балда;-1
балда;-1
балдеть;-1
балдеть;0
балдеть;-1
балл;0
балл;0
балл;0
балласт;0
балласт;-1
балласт;-1
баловать;-1
баловать;-1
баловать;0
баловать;-1
баловство;-1
баловство;0
баловство;-1
баловство;-1
балтийский;0
балтийский;0
балтийский;0
бан;-1
бан;-1
бан;-1
бан;0
бан;-1
банальность;-1
банальность;-1
банальность;0
банальность;-1
банальность;0
банальность;-1
банальный;-1
банальный;0
банальный;0
банальный;0
банан;0
банан;0
банан;0
банан;0
банда;0
банда;-1
банда;-1
банда;-1
бандера;-1
бандера;0
бандера;-1
бандеровец;0
бандеровец;0
бандеровец;-1
бандеровец;-2
бандеровец;-1
бандитизм;-2
бандитизм;-1
бандитизм;-1
бандитизм;-1
бандитизм;0
бандитизм;-1
бандитский;-1
бандитский;-1
бандитский;-1
бандформирование;-2
бандформирование;-1
бандформирование;-2
бандформирование;0
бандформирование;-2
бандформирование;-2
бандформирование;-2
банить;0
банить;-1
банить;-1
банк;0
банк;0
банк;0
банкир;0
банкир;0
банкир;0
банкир;-1
банковский;0
банковский;0
банковский;0
банковский;0
банкрот;0
банкрот;-1
банкрот;-1
банкротство;-1
банкротство;0
банкротство;-1
барак;0
барак;-1
барак;-1
баран;0
баран;-1
баран;0
барахло;-1
барахло;-2
барахло;0
барахло;-1
бардак;-1
бардак;-1
бардак;-1
баржа;0
баржа;0
баржа;0
баржа;-1
баржа;0
баржа;0
баррель;0
баррель;0
баррель;0
баррикада;0
баррикада;-1
баррикада;0
барселона;0
барселона;0
барселона;0
барселона;0
барселона;0
бархатный;0
бархатный;0
бархатный;0
барыга;-1
барыга;-1
барыга;-1
барышня;0
барышня;-1
барышня;0
барьер;0
барьер;0
барьер;-1
басня;-1
басня;0
басня;-1
басня;0
басня;0
бастрыкин;0
бастрыкин;0
бастрыкин;0
бастрыкин;0
батальон;0
батальон;0
батальон;0
батальон;0
батька;0
батька;0
батька;0
батюшка;0
батюшка;0
батюшка;1
башенный;0
башенный;0
башенный;0
башенный;0
башка;-1
башка;-1
башка;0
башкир;1
башкир;0
башкир;0
башковитый;1
башковитый;2
башковитый;1
башня;-1
башня;0
башня;0
бдительность;0
бдительность;0
бдительность;1
бдительный;0
бдительный;-1
бдительный;1
бегство;-1
бегство;-1
бегство;-1
бегство;-1
беда;-1
беда;-1
беда;-1
беда;-1
беда;-2
бедненький;-1
бедненький;-1
бедненький;0
бедность;-1
бедность;-1
бедность;-1
бедный;-1
бедный;-2
бедный;-1
бедный;-1
бедный;-1
бедняга;-1
бедняга;1
бедняга;0
бедняжка;-1
бедняжка;-1
бедняжка;-1
бедняк;-1
бедняк;-1
бедняк;-1
бедняк;0
бедолага;0
бедолага;-1
бедолага;0
бедственный;-1
бедственный;-1
бедственный;-2
бедственный;0
бедствие;0
бедствие;-2
бедствие;-1
бедствие;-2
бедствие;-1
бедствовать;-1
бедствовать;-1
бедствовать;-1
бежать;0
бежать;0
бежать;0
беженец;0
беженец;0
беженец;-1
безальтернативный;0
безальтернативный;-1
безальтернативный;-1
безальтернативный;-1
безальтернативный;-1
безальтернативный;0
безбедный;0
безбедный;0
безбедный;1
безбилетник;-1
безбилетник;0
безбилетник;0
безбилетник;-1
безбилетник;-1
безбожный;-1
безбожный;-1
безбожный;-1
безвестный;0
безвестный;0
безвестный;-1
безвкусный;0
безвкусный;0
безвкусный;-1
безвкусный;-1
безвозмездный;-1
безвозмездный;0
безвозмездный;0
безвозмездный;0
безволие;-1
безволие;-1
безволие;-1
безвольный;-1
безвольный;-1
безвольный;-1
безвольный;0
безвольный;-1
безвольный;-1
безвредность;1
безвредность;0
безвредность;1
безвредный;1
безвредный;1
безвредный;0
безвредный;1
безвредный;0
безвредный;1
безвременный;0
безвременный;0
безвременный;0
безвыходность;-1
безвыходность;-1
безвыходность;-1
безголовый;-1
безголовый;-1
безголовый;0
безграмотность;-1
безграмотность;-1
безграмотность;-1
безграмотность;-1
безграмотность;-1
безграмотность;-1
безграмотный;-1
безграмотный;-1
безграмотный;-1
безграмотный;-1
безграмотный;-1
безграмотный;-1
безграничный;-1
безграничный;1
безграничный;1
безгрешный;1
безгрешный;0
безгрешный;1
бездарный;-2
бездарный;-1
бездарный;-2
бездарный;-2
бездарь;-1
бездарь;-1
бездарь;-1
бездействие;-1
бездействие;-2
бездействие;-1
безделье;-1
безделье;-1
безделье;-1
безделье;-1
безделье;-1
бездельница;-1
бездельница;-2
бездельница;-1
бездельничать;-1
бездельничать;-1
бездельничать;-1
бездельничать;-1
бездельничать;-1
бездельничать;0
безденежье;0
безденежье;-1
безденежье;-1
бездетный;0
бездетный;0
бездетный;0
бездетный;-1
бездетный;-1
бездетный;-1
бездеятельность;-1
бездеятельность;-1
бездеятельность;-1
бездеятельность;-1
бездоказательный;-1
бездоказательный;0
бездоказательный;-1
бездоказательный;-1
бездорожье;0
бездорожье;0
бездорожье;-1
бездорожье;-2
бездорожье;-1
бездумный;-1
бездумный;-1
бездумный;-1
бездумный;-2
беззаконие;-1
беззаконие;-2
беззаконие;-1
беззащитность;-1
беззащитность;-1
беззащитность;0
беззащитность;0
безликий;-1
безликий;-1
безликий;-1
безликий;-2
безликий;-1
безликий;-1
безликий;-1
безлюдный;0
безлюдный;-1
безлюдный;-1
безмозглость;-2
безмозглость;-1
безмозглость;-2
безмозглый;-1
безмозглый;-2
безмозглый;-2
безнадега;-1
безнадега;-1
безнадега;-2
безнадежность;-1
безнадежность;-1
безнадежность;-1
безнадежный;-1
безнадежный;-1
безнадежный;-1
безнаказанность;-1
безнаказанность;-1
безнаказанность;-1
безнаказанность;-1
безнаказанность;-1
безнаказанность;-1
безнаказанный;-1
безнаказанный;-1
безнаказанный;-1
безногий;-1
безногий;-2
безногий;-2
безногий;-1
безногий;-1
безнравственность;-2
безнравственность;-1
безнравственность;-1
безнравственный;-1
безнравственный;-1
безнравственный;-1
безобидный;0
безобидный;0
безобидный;0
безобидный;0
безобидный;0
безобразие;-1
безобразие;-1
безобразие;-1
безобразничать;-1
безобразничать;-1
безобразничать;-1
безобразничать;0
безопасность;1
безопасность;0
безопасность;0
безопасность;0
безопасный;1
безопасный;1
безопасный;1
безосновательный;0
безосновательный;0
безосновательный;-1
безосновательный;-1
безосновательный;0
безответственность;-1
безответственность;-1
безответственность;-2
безответственный;-1
безответственный;-1
безответственный;-2
безответственный;-1
безработица;0
безработица;0
безработица;-1
безработица;-1
безработица;-1
безработица;-1
безработный;0
безработный;-1
безработный;0
безразличие;-1
безразличие;-1
безразличие;-2
безразличие;-2
безразличие;-1
безразличный;-1
безразличный;0
безразличный;0
безразличный;-1
безразличный;0
безразличный;0
безразличный;-1
безразличный;0
безропотный;-1
безропотный;-1
безропотный;-1
безудержный;-1
безудержный;-1
безудержный;0
безудержный;-1
безукоризненный;1
безукоризненный;0
безукоризненный;0
безумие;-1
безумие;-1
безумие;-1
безумный;-1
безумный;-1
безумный;-1
безумство;-1
безумство;-1
безумство;-1
безупречный;2
безупречный;2
безупречный;1
безусловный;1
безусловный;0
безусловный;0
безучастный;-1
безучастный;-1
безучастный;-1
безучастный;-1
безучастный;0
безучастный;-1
безыдейный;-1
безыдейный;-1
безыдейный;-1
безысходность;-1
безысходность;-1
безысходность;-1
безысходность;-1
безысходность;-1
безысходный;-1
безысходный;-1
безысходный;-1
безысходный;-1
беларусь;0
беларусь;0
беларусь;0
белиберда;-2
белиберда;-1
белиберда;-1
белиберда;-1
белорус;0
белорус;0
белорус;0
белорус;0
белоруссия;0
белоруссия;0
белоруссия;0
белоруссия;0
белоруссия;0
белорусский;0
белорусский;0
белорусский;0
белорусский;0
белорусский;0
белорусский;0
белорусский;0
белоснежный;0
белоснежный;-1
белоснежный;1
белоснежный;1
белоснежный;0
белый;0
белый;0
белый;0
бельгия;0
бельгия;0
бельгия;0
бельгия;0
бельгия;1
бен;0
бен;0
бен;0
бен;0
бен;0
бен;0
бензин;0
бензин;0
бензин;0
берег;0
берег;0
берег;0
бережливый;1
бережливый;1
бережливый;1
береза;0
береза;-2
береза;0
березовский;0
березовский;0
березовский;0
березовский;0
беременность;0
беременность;0
беременность;0
беременный;0
беременный;0
беременный;0
беременный;0
берет;0
берет;0
берет;0
беречь;0
беречь;0
беречь;0
беречь;0
беречь;0
беречь;1
берия;0
берия;0
берия;1
берия;0
берлин;0
берлин;0
берлин;0
берлин;0
берлин;0
бесить;-1
бесить;-2
бесить;-1
бесить;-1
бесить;-2
беситься;-1
беситься;-1
беситься;-1
бескомпромиссный;0
бескомпромиссный;-1
бескомпромиссный;2
бесконечность;0
бесконечность;-1
бесконечность;0
бесконечность;0
бесконечность;0
бесконечный;0
бесконечный;0
бесконечный;-1
бесконечный;0
бесконтрольный;-1
бесконтрольный;-1
бесконтрольный;-1
бескрайний;0
бескрайний;0
бескрайний;-1
бескровный;1
бескровный;1
бескровный;-1
бескровный;0
бесноватый;-1
бесноватый;-1
бесноватый;-1
бесноватый;-1
бесноватый;-1
бесноватый;-1
бесноватый;-1
бесноваться;-2
бесноваться;-1
бесноваться;-2
бесноваться;-1
бесноваться;-1
бесноваться;-1
беспардонный;-1
беспардонный;-1
беспардонный;-1
беспардонный;-1
беспардонный;-1
беспардонный;-1
беспардонный;-1
беспартийный;0
беспартийный;-1
беспартийный;0
бесперспективный;-1
бесперспективный;-1
бесперспективный;-1
бесперспективный;0
беспечность;-1
беспечность;-1
беспечность;-1
бесплодность;-1
бесплодность;-1
бесплодность;-1
бесплодный;0
бесплодный;-2
бесплодный;-1
бесподобный;1
бесподобный;1
бесподобный;1
беспокоить;-1
беспокоить;-1
беспокоить;0
беспокоиться;-1
беспокоиться;0
беспокоиться;0
беспокоиться;-1
беспокойный;-1
беспокойный;-1
беспокойный;0
беспокойство;-1
беспокойство;-1
беспокойство;-1
беспокойство;-1
беспокойство;-1
бесполезность;-1
бесполезность;-1
бесполезность;-1
бесполезный;-1
бесполезный;-1
бесполезный;-1
бесполезный;-2
бесполезный;-1
беспомощный;-1
беспомощный;-1
беспомощный;0
беспомощный;-1
беспомощный;-1
беспорядок;-1
беспорядок;-1
беспорядок;-1
беспочвенный;-1
беспочвенный;-1
беспочвенный;-1
беспощадный;-1
беспощадный;-1
беспощадный;-1
бесправный;-1
бесправный;-1
бесправный;-1
беспредел;-1
беспредел;-2
беспредел;-1
беспредел;-1
беспредельный;-1
беспредельный;1
беспредельный;0
беспредельный;0
беспрерывный;-1
беспрерывный;0
беспрерывный;0
беспрерывный;0
беспрерывный;-1
беспрерывный;0
беспрерывный;0
беспрецедентный;1
беспрецедентный;0
беспрецедентный;-1
беспрецедентный;-1
беспримерный;-1
беспримерный;1
беспримерный;-1
беспринципный;-1
беспринципный;-2
беспринципный;-1
беспринципный;-1
беспристрастный;1
беспристрастный;1
беспристрастный;1
беспричинный;0
беспричинный;0
беспричинный;0
беспробудный;-1
беспробудный;-1
беспробудный;-1
бессердечный;0
бессердечный;-2
бессердечный;-2
бессилие;-1
бессилие;-1
бессилие;-1
бессильный;-1
бессильный;-1
бессильный;0
бессильный;-1
бесславный;-1
бесславный;-1
бесславный;-1
бесславный;-1
бессмертный;1
бессмертный;0
бессмертный;0
бессмертный;1
бессмысленность;0
бессмысленность;-1
бессмысленность;-2
бессмысленный;-1
бессмысленный;-1
бессмысленный;-1
бессмыслица;-1
бессмыслица;-1
бессмыслица;-1
бессовестность;-1
бессовестность;-1
бессовестность;-1
бессовестность;-1
бесспорный;0
бесспорный;0
бесспорный;0
бесстрашный;2
бесстрашный;1
бесстрашный;1
бесстрашный;1
бесстыдный;-1
бесстыдный;-2
бесстыдный;-2
бестактность;0
бестактность;-1
бестактность;-1
бестия;1
бестия;0
бестия;0
бестия;-1
бестия;0
бестолковость;0
бестолковость;-1
бестолковость;-1
бестолковый;-1
бестолковый;-1
бестолковый;-1
бестолочь;-2
бестолочь;-2
бестолочь;-1
бесхитростный;0
бесхитростный;0
бесхитростный;0
бесцветный;0
бесцветный;0
бесцветный;-1
бесчеловечность;-1
бесчеловечность;-1
бесчеловечность;-2
бесчеловечный;-2
бесчеловечный;-1
бесчеловечный;-2
бесчеловечный;-1
бесчестный;-1
бесчестный;-2
бесчестный;-2
бесчестный;-1
бесчисленный;0
бесчисленный;0
бесчисленный;1
бетон;0
бетон;0
бетон;0
бетонный;0
бетонный;0
бетонный;0
бешенство;-1
бешенство;-1
бешенство;-1
бешенство;-1
бешенство;-1
бешеный;-1
бешеный;-1
бешеный;-1
библия;0
библия;2
библия;0
бизнес;0
бизнес;0
бизнес;0
бизнесмен;0
бизнесмен;0
бизнесмен;0
билет;0
билет;0
билет;0
биржа;0
биржа;0
биржа;0
бирюлево;0
бирюлево;0
бирюлево;0
бирюлево;0
битва;-1
битва;0
битва;0
бить;0
бить;0
бить;-2
бич;-1
бич;-1
бич;-2
бич;0
бич;-2
бич;-2
бич;-1
благо;0
благо;0
благо;0
благо;-1
благо;1
благоволение;1
благоволение;-1
благоволение;1
благоволение;1
благоволить;1
благоволить;1
благоволить;0
благоговение;1
благоговение;0
благоговение;0
благодарить;0
благодарить;0
благодарить;1
благодарность;1
благодарность;1
благодарность;0
благодарственный;1
благодарственный;0
благодарственный;1
благодатный;2
благодатный;1
благодатный;1
благоденствие;1
благоденствие;1
благоденствие;1
благоденствие;0
благодушный;1
благодушный;-1
благодушный;1
благодушный;1
благодушный;-1
благозвучный;1
благозвучный;1
благозвучный;0
благой;0
благой;1
благой;1
благой;0
благополучие;1
благополучие;1
благополучие;1
благополучие;0
благополучие;0
благополучие;1
благополучный;2
благополучный;0
благополучный;1
благополучный;0
благопристойный;1
благопристойный;1
благопристойный;-1
благопристойный;1
благоприятный;0
благоприятный;2
благоприятный;1
благоприятствовать;1
благоприятствовать;1
благоприятствовать;0
благоприятствовать;0
благоприятствовать;1
благоразумие;1
благоразумие;0
благоразумие;1
благородный;2
благородный;1
благородный;1
благородство;2
благородство;0
благородство;-1
благосклонный;1
благосклонный;1
благосклонный;1
благословение;0
благословение;1
благословение;0
благословенный;1
благословенный;1
благословенный;1
благословлять;1
благословлять;2
благословлять;1
благосостояние;0
благосостояние;1
благосостояние;1
благосостояние;1
благостный;2
благостный;1
благостный;-1
благостный;0
благостный;1
благотворитель;1
благотворитель;0
благотворитель;1
благотворитель;1
благотворитель;0
благотворительность;1
благотворительность;0
благотворительность;1
благотворительный;0
благотворительный;0
благотворительный;1
благоустройство;0
благоустройство;1
благоустройство;0
благоустройство;0
благочестивый;1
благочестивый;1
благочестивый;-1
благочестие;2
благочестие;-1
благочестие;1
блаженный;-1
блаженный;0
блаженный;0
блаженный;1
блаженный;-1
блаженный;1
блажь;1
блажь;0
блажь;0
блатной;-1
блатной;-1
блатной;-1
блевать;-1
блевать;-2
блевать;-1
блевать;-1
блевотина;-2
блевотина;-2
блевотина;-2
блевотина;-1
блевотный;-2
блевотный;-2
блевотный;-2
блевотный;-1
бледный;0
бледный;0
бледный;-1
бледный;-1
бледный;0
бледный;0
блекнуть;-1
блекнуть;-1
блекнуть;-1
блекнуть;-1
блекнуть;-1
блекнуть;0
блекнуть;0
блеск;1
блеск;1
блеск;0
блеф;-1
блеф;-1
блеф;0
блеф;0
блеф;0
блефовать;-1
блефовать;-1
блефовать;0
ближний;0
ближний;0
ближний;0
ближний;0
ближний;0
ближний;0
близкий;0
близкий;0
близкий;0
близорукий;0
близорукий;-1
близорукий;-2
близорукий;-2
близорукий;-1
близорукий;0
близорукий;0
блин;-1
блин;0
блин;0
блин;0
блистательный;-1
блистательный;2
блистательный;-1
блистать;0
блистать;1
блистать;-1
блистать;-1
блог;0
блог;0
блог;0
блок;0
блок;0
блок;0
блок;0
блок;0
блокада;0
блокада;0
блокада;0
блокадный;-1
блокадный;0
блокадный;0
блоха;-2
блоха;-1
блоха;0
блошиный;-1
блошиный;0
блошиный;0
блуд;0
блуд;-1
блуд;-1
блудница;-2
блудница;0
блудница;-1
блудница;-1
блудница;-2
блудница;-1
блудница;-1
блудный;0
блудный;0
блудный;0
блудный;-1
бля;-1
бля;-1
бля;-2
бля;-2
блядский;-2
блядский;-2
блядский;-2
блядский;-1
блядство;-2
блядство;-2
блядство;-2
блядство;-1
блядство;-2
бог;1
бог;0
бог;0
богатей;-1
богатей;-1
богатей;-1
богатенький;-1
богатенький;-1
богатенький;-1
богатенький;1
богатеть;0
богатеть;-1
богатеть;0
богатеть;1
богатеть;0
богатство;1
богатство;0
богатство;2
богатство;0
богатство;0
богатый;1
богатый;0
богатый;1
богатырский;1
богатырский;1
богатырский;2
богатырский;1
богатырский;1
богач;0
богач;-1
богач;-1
богомерзкий;-1
богомерзкий;-2
богомерзкий;-1
богородица;0
богородица;0
богородица;0
богослужение;0
богослужение;0
богослужение;0
богослужение;0
богослужение;0
боготворить;1
боготворить;1
боготворить;-1
богоугодный;1
богоугодный;-1
