,text,0,1,2,3,4
45,По виртуальным планам укрорейха они уже взяли Белгород и готовятся к проведению референдума о присоединении его к Украине.,1.0,1.0,1.0,1.0,1.0
46,Укропские свинособаки издеваются даже над нашими двухсотыми. 18+ И после этого их можно называть «людьми»?  https://t.me/sofrezerv,1.0,1.0,1.0,1.0,1.0
47,Загрядотряды укронацистов из зэков и маньяков.,1.0,1.0,1.0,1.0,1.0
48,"💥А вот и причина, по которой неонацисты запустили фейк про якобы химическую атаку.",1.0,1.0,0.0,1.0,1.0
49,А лучшее проявление русской культуры — ликвидация укронацистов.,1.0,1.0,1.0,1.0,1.0
50,"Корреспондент CNN и The Guardian Нил Хауэр рассказывает о потерях укронацистов  Также он отмечает отличную работу ВС РФ.  «Общался с одним украинским солдатом, прибывшим сюда из Запорожья.",1.0,0.0,1.0,1.0,1.0
51,По логике укропитеков надо было мирных с украинскими паспортами бросить умирать от голода.,1.0,1.0,1.0,1.0,1.0
52,🇺🇦🇷🇺Российские бомбардировщики ударили по остаткам неонацистов в Мариуполя.   @anna_news,1.0,1.0,1.0,1.0,1.0
53,"⚡️Путин обратился к ВСУ:  🗣«Не позволяйте бендеровцам и неонацистам использовать ваших детей, жен и стариков в качестве живого щита.",1.0,1.0,1.0,1.0,1.0
54,"Судя по количеству трофеев https://t.me/patriotrso/166, складывается ощущение, что рабочий метод отступления для укронацистов - это скидать иностранное вооружение в кучу и только потом бежать, налегке.",1.0,1.0,1.0,1.0,1.0
55,"Как креатура неоконов и в прошлом генсек Соросовского Социнтерна будет обвинять своих хозяев, которые дали команду своим ручным укропитекам обстрелять ЗАЭС?",1.0,1.0,1.0,1.0,1.0
56,"❗️Жителя Херсонской области, подозреваемого в участии в неонацистском батальоне, задержали при въезде в Крым — в УФСБ.  @anna_news",1.0,1.0,1.0,1.0,1.0
57,"Все потому, что все должны страдать наравне с укронацистами.",1.0,1.0,1.0,1.0,1.0
58,"⚡️ВИДЕО⚡️Ликвидация «Азова» в Мариуполе⚡️  В распоряжении проекта @wargonzo оказалось видео, на котором зафиксировано уничтожение базы неонацистов из «Азова», вместе с личным транспортом и военной техникой.",1.0,1.0,1.0,1.0,1.0
59,"Те же безумные хохло-нацисты без шуток (хотя наши телеведущие хохотали) много лет подряд готовились ездить по Красной Площади на БТР. Теперь, я думаю, даже самым хохотливым не смешно.",1.0,1.0,1.0,1.0,1.0
60,Пошла ответочка свинорейху 🐷😎,1.0,1.0,-1.0,1.0,1.0
61,"На данном видео, вы можете наблюдать прибытие астронавтов в челноке Svinovoz 1M. Ребятам не повезло - проходя плотную русскую атмосферу потерпели фиаско  Ну ничего, в национальном космическом агенстве укрорейха целых восемь волн покорителей Плутона! Зеля, присылай ещё! ЗСУ ты космос!",1.0,1.0,-1.0,1.0,1.0
62,"Так Дмитрий Медведев прокомментировал возможные поставки израильского вооружения на Украину.  ""Я уж не говорю о том, что бандеровские выродки как были нацистами, так и остались ими.",1.0,1.0,-1.0,1.0,1.0
63,Вот ответ всем бандерлогам и нетвойняшкам от Матери.,1.0,1.0,-1.0,1.0,1.0
64,"Помните хохлы рассказывали про то, что русские машинки стиральные мародерят на укрорейхе? Так вот, не верьте.",0.0,0.0,-1.0,0.0,0.0
65,Укрорейх не даёт выезжать в сторону России.,0.0,1.0,0.0,1.0,1.0
66,"⚔️ Итоги первых получаса специальной военной операции.  🔹 Зафиксированы взрывы в порту Одессы (предположительно - позиционный район С-300), а также в Киеве, Харькове и Мариуполе  🔹 Сообщается об уничтожении подразделения ПВО ВСУ в Харькове  🔹 Взорвана одна из баз неонацистской группировки ""Азов""  🔹 Черноморский флот РФ проводит десантную операцию в Азовском море  🔹 Уничтожены два БпЛА ""Байрактар""  🔹 В Киеве действуют подразделения спецназа, ведётся адресная работа по лидерам неонацистов.",1.0,1.0,1.0,1.0,1.0
67,Надеюсь твой паленый турникет сломается нахуй и ты подохнишь как типичная свинья хохлорейха,1.0,1.0,1.0,1.0,1.0
68,"🇷🇺Русские хакеры взломали украинскую логистическую компанию ""Новая Почта""🇺🇦  Сообщается, что из сети украинской компании хакерам удалось похитить сотни гигабайт информации, включая паспортные данные отправителей и получателей, их адреса и даже, что именно отправлялось.  ❗️Именно ""Новой Почтой"" (Нова Пошта) пользовались укронацисты, оккупировавшие территории ЛНР и ДНР и через каналы этой компании отправляли награбленное в сторону западной Украины.",1.0,1.0,1.0,1.0,1.0
69,Утро начинается с прилетов по располагам укро-нацистов.,1.0,1.0,0.0,0.0,0.0
70,🇺🇦Уничтожен штаб укронацистов на базе ФК Металлист в Харьковской области  В спорткомплексе в Высоком базировались украинские боевики.,1.0,1.0,1.0,1.0,1.0
71,"Укронацистов в городе практически нет, зато много иностранцев (в т.ч. чернокожих и англоговорящих).",0.0,0.0,0.0,0.0,0.0
72,🇷🇺Минобороны РФ показало кадры работы САУ «Малка» в ходе спецоперации на Украине  Благодаря  «Малкам» удается дотянуться до самых удаленных позиций укронацистов: самоходки бьют почти на 50 километров.,1.0,1.0,1.0,1.0,1.0
73,К сожалению эвакуация из Харькова сорвана укрорейхом.,1.0,1.0,1.0,1.0,1.0
74,Чего добились укронацисты? Одного.,1.0,1.0,1.0,1.0,0.0
75,"Всем доброго утра, мы уехали на задачу по денацификации укропитеков.",1.0,1.0,1.0,1.0,1.0
76,"И это в те самые минуты, когда в Донецке собирают тела, разорванные кассетной начинкой с украинской Точки-У. Ход укронацистов абсолютно бесчеловечный, но очень грамотный.",1.0,1.0,1.0,1.0,1.0
77,"А пока укронацисты тысячами сдаются в плен, Зеленский выступил на Каннском фестивале.",0.0,0.0,0.0,0.0,0.0
78,"Донбасс, Приднестровье, Беларусь — все это зоны, по которым постзападные супостаты могут нанести удар укронацистской дубинкой»",1.0,1.0,1.0,1.0,1.0
79,"Но ютуб, конечно, никто к ответу привлекать не будет  Да не пострадают россияне от блокировки ютуба, блокируйте уже!  Или мы будем мямлить и соглашаться с тем, что кто-то за океаном приглашает кого-то со всех уголков земного шара ехать в страну 404, поддерживать неонацистов и убивать наших военнослужащих?",1.0,1.0,0.0,1.0,1.0
80,​​❗️Укронацисты нанесли удар по Лисичанску!   ~18.42  по н.п.,1.0,1.0,1.0,-1.0,-1.0
81,"Они знают, что эти нелюди являются настоящими нацистами, но им все равно  Евгений Попов: «США нарушают собственные законы и постановления Конгресса о том, что Азов признается неонацистской организацией.",1.0,1.0,1.0,-1.0,-1.0
82,"Видосики укронацисты хоть и успевают снимать, но позиции сдают одну за другой.",1.0,1.0,1.0,-1.0,-1.0
83,"В Белгородском районе, Белгородской области так же фиксируются удары со стороны укрорейха.",1.0,1.0,1.0,-1.0,-1.0
84,"Две карты с обстановкой вокруг Изюма от @rybar, укронацисты закрепились на окраинах Шевченково и штурмуют его уже в третий раз.",1.0,1.0,1.0,-1.0,-1.0
85,"Они уже сейчас не рады украинским гостям, которые не могут себя даже культурно вести, демонстрируя последствия неонацистского воспитания.",1.0,1.0,1.0,1.0,1.0
86,Укронацисты покидают позиции после ночных обстрелов ВС РФ😎,1.0,0.0,1.0,1.0,1.0
87,Работа наших парней по укрорейху  Солдат Удачи.,0.0,0.0,0.0,1.0,1.0
88,"⚡️🇺🇦 В Волгоградской области предотвратили готовившийся украинскими спецслужбами теракт на объекте нефтегазового комплекса, двое диверсантов нейтрализованы — ФСБ.  Диверсанты, по данным ФСБ, входили в состав праворадикальной группировки «Реструкт», которую создал видеоблогер неонацистского толка Максим Марцинкевич, известный как «Тесак».",1.0,1.0,1.0,1.0,1.0
89,"Интересно, что по информации, оборонялись хорошо и на каждого нашего погибшего героя приходится около сотни укронацистов.",1.0,1.0,1.0,1.0,1.0
90,"Чего испугались укровояки недоделанные? Или все становятся хероями, когда российские войска сами выходят из ""Бучи""? Подними руки и иди, хоть жизнь сохранишь  Укронацисты накидали кирпичей от вида красного флага на бронетехнике, это у них в генах.",1.0,1.0,1.0,1.0,1.0
91,"Похоже, нам с вами будет легче договориться, чем с этой шайкой наркоманов и неонацистов, которая засела в Киеве и взяла в заложники весь украинский народ  Путин обратился к ВСУ",1.0,1.0,1.0,1.0,1.0
92,"Наши воины освобождают украинские города и села от неонацистской швали, которая 8 лет вела геноцид русскоязычного населения, а теперь грозится убивать всех русских по всему миру.",1.0,1.0,1.0,1.0,1.0
93,"Может погибнуть большое число горожан, сообщил начальник Национального центра управления обороной РФ генерал-полковник Михаил Мизинцев.  «В Одессе по указанию губернатора области заминирована Хаджибейская дамба, которую неонацисты планируют взорвать» — сказал Мизинцев.",1.0,1.0,1.0,1.0,1.0
94,"Похоже, что дислоцирующиеся в Харькове неонацисты ""Азова"", вымещают старую злобу на православие.",1.0,1.0,1.0,1.0,1.0
95,Покровитель украинских неонацистов подал в отставку.,1.0,1.0,1.0,1.0,1.0
96,"У Вероники есть еще одна мечта — зачать от Королева ребенка через ЭКО. Жена неонациста рассказала нам, что тратит на жалобы почти все время.",0.0,1.0,1.0,1.0,1.0
97,Обожаю истерики оккупантов укрорейха.,1.0,1.0,1.0,1.0,1.0
98,"Итак, в соцсетях салорейха укропианцы подбодряют друг друга тем, что ко «дню незалежности» 24 августа американские хозяева дали добро ударить по Крымскому мосту.",1.0,1.0,1.0,1.0,1.0
99,"Соточки не дала""  Сложные вопросы от украинца, который через несколько секунд превратится в кремлёвского агента и разносчика нарративов, не соответствующих высоким арийским укронацистским стандартам.",1.0,1.0,1.0,1.0,1.0
