nl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
hogesnelheidstreinen	train	1	1	1	1	1	1	1	1	1
desinformatiebeleid	outline	1	1	1	1	1	1	1	0	1
Shimon	desire	1	1	1	1	0	1	1	1	1
vastere	secure	0	0	1	1	1	1	1	0	1
visteeltbedrijf	farm	0	1	1	1	1	1	1	0	1
weken	time	0	0	1	0	1	0	1	0	1
verhaalsmogelijkheid	strengthen	1	1	0	1	0	1	1	1	0
aansprakelijkheidsstelsel	warrant	0	0	0	0	1	0	0	0	0
EU-landbouwmarkt	market	0	0	0	1	1	1	1	0	1
overgereguleerd	make	0	0	0	1	0	0	1	0	0
Robertson	begin	1	1	1	1	0	1	1	0	1
buitenechtelijke	engage	0	0	0	1	1	1	1	0	1
handelsdialoog	trade	0	1	1	1	1	1	1	0	1
bandenmarkt	market	0	0	0	1	1	1	1	0	1
sectoronderzoek	note	0	0	0	0	0	0	1	0	0
financieringsaspecten	finance	1	1	1	1	1	1	1	0	1
fit	fit	0	0	1	1	0	1	1	0	1
herstelfase	phase	0	0	0	1	1	0	1	0	0
geleegd	count	0	0	1	1	1	1	1	0	1
betrouwbare	secure	0	0	1	1	1	1	1	0	1
belanghebbend	implicate	0	0	0	-1	0	1	1	-1	0
fik	set	0	0	1	1	1	1	1	0	1
Hij	produce	1	1	1	1	0	1	1	0	1
anachronistisch	write	1	1	1	1	1	1	1	0	1
barrières	remove	-1	1	-1	-1	1	0	1	-1	0
projectontwikkelaar	assess	0	1	0	1	0	1	1	0	1
paraat	ready	0	1	1	1	1	0	1	0	1
producentenverenigingen	apply	0	1	1	1	1	1	1	0	1
vouchers	form	1	1	1	1	1	1	1	0	1
beroemde	celebrate	1	1	1	1	1	1	1	0	1
quotaoverdracht	transfer	0	0	0	0	0	1	1	0	0
proteïnes	make	0	0	0	1	0	0	1	0	0
zinnetje	sentence	-1	1	-1	-1	0	1	1	-1	0
onteerd	be	0	1	0	0	0	0	1	0	1
duurzamer	sustain	0	1	1	1	1	1	1	1	1
spaarpotje	smash	0	-1	-1	-1	0	1	0	-1	0
afkondiging	proclaim	1	1	1	1	1	1	1	0	1
giusto	be	0	1	0	0	0	0	1	0	1
Dertigjarige	draw	0	0	1	1	1	1	0	0	0
landbouwvoedingsmiddelen	abandon	0	-1	-1	-1	-1	0	1	-1	-1
taalversies	correct	0	0	0	1	0	1	1	0	0
Bundeswehr	comment	0	0	0	0	0	1	1	0	1
kaderwet	vote	0	0	0	1	1	1	1	0	0
samenwerkingsovereenkomst	conclude	1	1	1	1	0	1	1	0	1
terroristen	have	1	1	1	0	0	1	1	0	1
-organen	extend	0	1	1	1	1	1	1	0	1
verstrooidheid	represent	0	1	0	1	0	1	1	0	0
bewegingsvrijheid	free	1	1	1	1	1	1	1	1	1
zuil	incorporate	0	0	1	1	0	1	1	0	1
verfijnder	refine	0	1	0	1	1	1	1	0	1
Hedegaard	want	1	0	1	0	0	1	1	0	1
ongrondwettelijk	be	0	1	0	0	0	0	1	0	1
autohandel	trade	0	1	1	1	1	1	1	0	1
zuid	divide	0	-1	0	-1	0	1	0	-1	0
conceptverslag	report	0	0	-1	1	0	0	1	0	-1
financieel-economische	attempt	0	0	1	0	1	0	1	0	0
overtollig	make	0	0	0	1	0	0	1	0	0
oorlogsperspectief	seem	0	0	0	0	0	-1	0	0	0
Middeleeuwen	age	0	0	0	-1	0	1	1	0	0
toeleveringen	supply	0	0	1	1	1	1	1	0	1
therapeuten	phase	0	0	0	1	1	0	1	0	0
hernationalisatie	lead	0	1	1	1	1	0	1	0	1
bankrekeningen	account	0	0	0	0	0	1	1	0	0
belastinginning	tax	0	0	1	1	1	0	1	0	1
klaarspelen	succeed	0	1	1	0	1	1	1	0	1
risicokapitaalfonds	fund	1	1	1	1	1	1	1	0	1
presentatoren	suggest	1	1	1	1	0	1	1	0	1
begrotingsinspanningen	make	0	0	0	1	0	0	1	0	0
afdingen	compromise	0	-1	0	-1	-1	1	0	0	0
tolwegen	marginalize	0	0	0	-1	0	1	0	-1	0
asielkwestie	issue	0	0	0	1	0	1	1	0	0
kredietsector	credit	1	0	1	1	1	1	1	1	1
geldmarkt	market	0	0	0	1	1	1	1	0	1
warmwaterbronnen	water	0	-1	0	-1	0	1	1	0	1
verslag-Mavrommatis	report	0	0	-1	1	0	0	1	0	-1
luchtvaartgroep	aim	0	0	0	1	1	0	1	0	1
breek	argue	0	0	1	1	0	1	1	0	0
instructie	instruct	1	1	1	1	1	1	1	1	1
zittingsperioden	term	1	1	0	1	1	1	0	0	0
petitieproces	process	0	0	1	1	1	1	1	0	0
marktoverwegingen	market	0	0	0	1	1	1	1	0	1
armoedeziektes	pay	0	0	-1	0	0	-1	1	0	-1
19.15	suspend	0	0	-1	-1	0	0	1	0	-1
19.10	suspend	0	0	-1	-1	0	0	1	0	-1
verstoren	distort	0	0	0	-1	0	1	0	0	0
Niger	defy	0	1	-1	-1	0	1	1	0	1
spoorwegland	control	1	0	1	0	1	1	1	0	1
arbeidsmarkthervormingen	market	0	0	0	1	1	1	1	0	1
getreuzel	attempt	0	0	1	0	1	0	1	0	0
studentenleiders	introduce	1	1	1	1	1	1	1	1	1
clementie	show	1	1	1	0	1	0	1	0	0
ondemocratische	sever	0	0	0	-1	0	1	1	-1	0
INRA-programma	warn	0	1	0	1	0	1	1	0	0
berekenbare	base	0	1	1	1	1	1	1	0	1
masten	choose	1	1	1	1	1	1	1	1	1
inpraatten	see	1	1	1	1	1	1	1	0	1
betwist	dispute	0	0	-1	-1	-1	1	1	0	-1
gezinsrelaties	settle	0	1	0	1	1	1	1	0	1
uitspeelt	play	1	1	1	1	1	1	1	0	1
precedentwerking	set	0	0	1	1	1	1	1	0	1
idealisering	demonstrate	0	0	1	1	0	1	1	0	1
master	do	1	1	1	0	0	1	1	0	1
transparantierichtlijn	exchange	0	0	1	0	1	0	1	0	0
subcomité	help	1	1	0	1	0	1	1	1	0
tegenzitten	swing	0	1	0	0	1	0	1	0	0
aangevulde	supplement	1	1	1	1	1	1	1	0	1
subsidiëring	fund	1	1	1	1	1	1	1	0	1
krantenredacties	intimidate	0	-1	0	-1	0	1	0	-1	0
betuttelend	state	0	1	1	1	0	1	1	0	0
Secchi	make	0	0	0	1	0	0	1	0	0
groeicomponent	try	0	1	1	0	1	1	1	0	0
biogasbedrijven	plant	1	1	1	1	1	1	1	0	1
gemakkelijkst	do	1	1	1	0	0	1	1	0	1
Arlacchi	highlight	1	1	1	1	0	1	1	0	1
Agadir	value	1	1	1	1	0	1	1	1	1
rijstproducenten	own	0	1	1	1	1	1	1	0	1
drugsgeld	take	1	1	1	0	1	1	1	0	1
substraat	strengthen	1	1	0	1	0	1	1	1	0
verstrakt	be	0	1	0	0	0	0	1	0	1
opschuiven	move	0	0	0	1	0	1	1	0	0
wetenschapster	perform	0	0	1	0	1	1	1	0	1
samenwerkingsterreinen	inspire	1	1	1	1	1	1	1	1	1
beladingsdichtheid	load	0	0	0	1	1	0	1	0	0
belangenvermenging	conflict	0	0	0	-1	0	1	1	0	0
hysterisch	become	0	0	0	0	0	0	1	0	0
ontvingen	receive	1	1	1	0	1	1	1	0	1
drijfnet	net	0	0	1	0	0	1	1	0	1
eerbiedig	respect	1	1	1	1	0	1	1	1	1
landbouwregelgeving	force	0	0	0	-1	0	1	0	-1	0
uitvoerheffing	tax	0	0	1	1	1	0	1	0	1
schuur	bring	0	0	1	1	0	0	1	0	0
besproeid	spray	0	-1	0	-1	0	1	-1	-1	0
BSE-kwestie	issue	0	0	0	1	0	1	1	0	0
feeling	sign	0	0	1	1	1	1	1	0	1
Őry	own	0	1	1	1	1	1	1	0	1
stilleggingsdata	date	0	0	1	0	1	0	1	0	1
merkproduct	term	1	1	0	1	1	1	0	0	0
uitbanningsproces	process	0	0	1	1	1	1	1	0	0
Bakijev	have	1	1	1	0	0	1	1	0	1
Chicago	force	0	0	0	-1	0	1	0	-1	0
aanbestedingscontract	blow	0	0	0	0	0	0	1	0	0
clusterbom	cluster	0	0	0	1	0	0	-1	0	0
eerbiedigd	respect	1	1	1	1	0	1	1	1	1
landbouwtoerisme	give	0	1	1	0	0	0	1	0	1
modellenreeks	be	0	1	0	0	0	0	1	0	1
%-criterium	level	0	1	1	1	1	0	1	0	1
thuishaven	base	0	1	1	1	1	1	1	0	1
allerijl	rush	0	0	-1	-1	1	1	1	-1	0
Slowaakse	major	0	1	0	0	1	1	1	0	1
veranderden	change	0	1	0	1	0	1	1	0	1
verstreken	have	1	1	1	0	0	1	1	0	1
overgangsprobleem	manage	1	1	1	1	1	1	1	0	1
knallen	shoot	0	0	0	-1	0	-1	1	-1	0
doorgedacht	be	0	1	0	0	0	0	1	0	1
coulissen	emerge	1	1	0	0	0	1	1	0	1
berbers	be	0	1	0	0	0	0	1	0	1
schrijden	be	0	1	0	0	0	0	1	0	1
dicteert	dictate	0	1	0	1	0	1	1	0	1
geïnspecteerd	inspect	0	0	0	0	0	1	1	0	0
NAIADES	make	0	0	0	1	0	0	1	0	0
schadevorderingen	damage	1	-1	0	-1	0	1	-1	-1	0
modelovereenkomsten	model	0	0	0	1	1	1	1	0	1
substitutiebeginsel	incorporate	0	0	1	1	0	1	1	0	1
affaire	matter	0	0	0	-1	0	1	1	0	0
uitvoerverbod	ban	0	-1	-1	-1	0	1	1	0	0
kuststreken	zone	0	0	0	0	0	0	1	0	0
tegengeluid	oppose	0	0	-1	-1	0	1	1	0	-1
werknemersbelangen	represent	0	1	0	1	0	1	1	0	0
filosofieën	clash	0	0	0	-1	0	1	1	0	0
Pandora	reopen	0	1	0	-1	1	1	1	0	1
meedoet	participate	1	1	1	1	1	1	1	0	1
documentatie	document	0	0	0	0	0	1	1	0	0
platteland	land	0	0	1	0	0	1	1	0	1
kiesstelsel	vote	0	0	0	1	1	1	1	0	0
filmprodukties	film	0	0	1	1	0	1	1	0	1
personeelsplanning	plan	1	1	1	1	1	1	1	0	1
conciliatieprocedure	force	0	0	0	-1	0	1	0	-1	0
hachje	own	0	1	1	1	1	1	1	0	1
reproduceerbaarheid	repudiate	0	0	-1	-1	0	1	1	0	1
toezichtcomités	monitor	0	1	1	1	1	0	1	0	0
tech	regard	1	1	1	1	1	1	1	1	1
beleidskader	sort	0	0	0	1	0	1	1	0	0
dioxineschandaal	scare	0	-1	0	-1	0	1	0	-1	0
slikt	take	1	1	1	0	1	1	1	0	1
veiligheidsoverwegingen	reason	0	0	0	0	0	0	1	0	1
rekenig	do	1	1	1	0	0	1	1	0	1
studiecycli	study	1	0	1	1	1	1	1	0	1
minimale	level	0	1	1	1	1	0	1	0	1
afschuift	buck	0	0	-1	0	0	1	1	0	1
overvoed	sort	0	0	0	1	0	1	1	0	0
ACS-regio	draw	0	0	1	1	1	1	0	0	0
Cunha	have	1	1	1	0	0	1	1	0	1
gezagvoerder	make	0	0	0	1	0	0	1	0	0
schaamteloosheid	sound	1	0	0	1	0	1	0	0	0
spijkerbroeken	leave	0	0	0	0	0	0	1	-1	0
transportsysteem	transport	0	1	0	1	1	1	1	0	0
gekort	cut	0	0	0	-1	0	0	1	0	0
leeftijdsgenoten	peer	0	1	0	0	1	1	1	0	1
rechttrekken	correct	0	0	0	1	0	1	1	0	0
marktresultaten	oppose	0	0	-1	-1	0	1	1	0	-1
prijsopgave	bid	0	0	1	0	1	1	1	0	1
geschokt	shock	0	0	0	-1	0	1	-1	-1	0
Hamilton	picture	0	0	0	0	0	1	1	0	0
tabaksconsumptie	risk	-1	0	-1	0	-1	0	1	0	-1
zakenluchtvaart	clog	0	-1	0	-1	0	1	-1	0	0
boeman	claim	1	1	1	0	1	1	1	0	1
schijnwerpers	highlight	1	1	1	1	0	1	1	0	1
begrotingsvoordelen	enjoy	1	1	1	1	1	1	1	1	1
investering	invest	1	1	1	1	1	1	1	1	1
uitgedijd	have	1	1	1	0	0	1	1	0	1
gewoonste	become	0	0	0	0	0	0	1	0	0
wisselkoersmechanismen	rate	0	1	0	1	0	0	1	0	0
Dybkjær	say	0	0	0	0	0	0	1	0	0
voortgangsrapportages	report	0	0	-1	1	0	0	1	0	-1
inzage	see	1	1	1	1	1	1	1	0	1
vaccinatieprogramma	campaign	0	0	1	1	1	1	1	-1	1
herstructurerings-	restructure	1	1	0	1	1	1	1	0	1
dienstverbanden	work	1	1	1	1	0	1	1	0	1
kernlanden	advance	0	1	1	1	1	0	1	0	1
verbluffende	stun	0	-1	0	-1	0	1	0	-1	0
vervoersmethoden	transport	0	1	0	1	1	1	1	0	0
programmatie	increase	1	1	0	1	0	1	1	0	1
straffeloos	go	0	0	0	0	0	0	1	0	0
waterbesparingsmaatregelen	water	0	-1	0	-1	0	1	1	0	1
gehekeld	denounce	-1	0	-1	-1	1	0	1	-1	-1
satellietfoto	photograph	0	1	0	0	0	1	1	0	1
referentiekaders	frame	1	1	1	1	1	1	1	0	1
huizenbouwers	do	1	1	1	0	0	1	1	0	1
oorsprongsbeginsel	intend	0	0	0	1	0	1	1	0	1
onderhandelingsstandpunt	negotiate	1	1	1	1	1	1	1	0	1
afslag	term	1	1	0	1	1	1	0	0	0
consumentenboekhouding	draw	0	0	1	1	1	1	0	0	0
Zuid-Amerikaanse	give	0	1	1	0	0	0	1	0	1
traktaat	be	0	1	0	0	0	0	1	0	1
ACS-buren	process	0	0	1	1	1	1	1	0	0
ECOFIN-vraagstukken	take	1	1	1	0	1	1	1	0	1
testkosten	cost	0	-1	0	0	0	0	1	-1	0
diermeel	feed	1	1	1	1	0	1	1	1	1
snoeit	cut	0	0	0	-1	0	0	1	0	0
directiekamers	incline	0	0	0	0	0	1	1	0	0
sportorganisaties	sport	1	0	1	1	1	1	1	0	1
natura	provide	1	1	1	1	1	1	1	0	1
geëvalueerd	evaluate	0	0	1	0	0	1	1	0	0
nature	be	0	1	0	0	0	0	1	0	1
monitoringsmechanisme	monitor	0	1	1	1	1	0	1	0	0
scheepsvlaggen	happen	0	0	0	0	0	0	-1	0	0
belastingbesluiten	tax	0	0	1	1	1	0	1	0	1
reïntegratie	rehabilitate	1	1	1	1	1	1	1	1	1
ondervragers	show	1	1	1	0	1	0	1	0	0
inbouwt	incorporate	0	0	1	1	0	1	1	0	1
incasso's	direct	0	0	1	1	0	1	1	0	1
qui-vive	move	0	0	0	1	0	1	1	0	0
Jarosław	undergo	0	0	0	0	1	1	1	0	0
binnenkrijgen	consume	0	0	1	0	1	1	1	0	1
fysiologie	state	0	1	1	1	0	1	1	0	0
klanken	sound	1	0	0	1	0	1	0	0	0
diarree	see	1	1	1	1	1	1	1	0	1
sleur	compare	0	0	0	0	0	1	1	0	0
leiderschapskwaliteiten	do	1	1	1	0	0	1	1	0	1
terugtrekkende	retreat	0	0	-1	0	0	0	1	0	1
Fraudebestrijding	be	0	1	0	0	0	0	1	0	1
publiciteit	attract	0	0	0	1	0	0	1	0	0
Fachkraft	range	0	0	0	0	0	0	0	0	0
autofabrikant	disclose	0	0	0	0	0	1	1	0	0
onafhankelijkheidsdrang	deny	0	0	-1	-1	0	1	1	0	-1
onderzoekstaken	research	0	-1	1	1	1	1	1	0	1
liberalisatieronde	round	0	0	0	0	1	0	1	0	0
visserij-activiteiten	pursue	0	1	1	0	0	1	1	0	1
Labourpartij	write	1	1	1	1	1	1	1	0	1
EG-verdrag	allow	1	1	1	1	0	1	1	1	1
terugnamegarantie	purchase	1	1	1	1	1	1	0	0	1
actualiteit	issue	0	0	0	1	0	1	1	0	0
pootjes	sort	0	0	0	1	0	1	1	0	0
bipolaire	consolidate	1	0	0	1	1	1	1	0	1
amateuristische	pull	0	0	0	0	0	0	1	0	0
executieve	claim	1	1	1	0	1	1	1	0	1
bevoegdheidsgeschillen	conflict	0	0	0	-1	0	1	1	0	0
verslag-Wijkman	report	0	0	-1	1	0	0	1	0	-1
tijdbommen	bomb	0	-1	0	-1	0	1	1	-1	0
kasten	involve	0	0	0	0	1	1	1	0	0
.	market	0	0	0	1	1	1	1	0	1
wildetoevoegen	be	0	1	0	0	0	0	1	0	1
onflexibel	render	1	0	1	0	1	1	1	0	1
telecommunicatiekwestie	approach	0	1	1	0	1	1	1	0	1
mensenrechten	field	0	0	1	1	1	1	1	0	0
racistisch	give	0	1	1	0	0	0	1	0	1
doseren	measure	0	1	0	0	0	0	1	0	1
invult	fill	0	1	1	1	1	1	1	0	1
debattrek	be	0	1	0	0	0	0	1	0	1
hulpverleningsstructuur	occur	1	1	0	1	0	1	0	1	0
onrustwekkend	worry	0	0	-1	-1	0	0	1	-1	-1
leveringsketen	supply	0	0	1	1	1	1	1	0	1
vastbijten	down	0	0	0	0	0	0	1	0	0
marktmechanisme	market	0	0	0	1	1	1	1	0	1
spin	spin	1	1	1	1	1	1	1	0	1
spil	focus	1	1	1	1	0	1	1	0	1
hectoliter	produce	1	1	1	1	0	1	1	0	1
Turijn	build	1	1	1	1	1	1	1	0	1
rundvleesmarkt	market	0	0	0	1	1	1	1	0	1
transparantievoorschriften	rule	1	1	1	1	1	1	1	0	1
rugbywedstrijd	require	0	1	1	0	1	1	1	0	0
tezamen	take	1	1	1	0	1	1	1	0	1
gemanaged	manage	1	1	1	1	1	1	1	0	1
onderhoudende	comment	0	0	0	0	0	1	1	0	1
jaagden	hunt	0	1	1	1	1	1	1	-1	1
tonijnbestand	stock	0	0	1	1	1	1	1	0	1
verpauperen	run	0	1	1	1	1	1	1	0	1
bijenhouders	reveal	0	0	0	1	0	1	1	0	0
arbeidsleeftijd	age	0	0	0	-1	0	1	1	0	0
pilootland	be	0	1	0	0	0	0	1	0	1
paniekstemming	be	0	1	0	0	0	0	1	0	1
telersverenigingen	group	0	0	0	1	1	0	1	0	1
