,text,0,1,2,3,4
17,Ланцет наглухо отменил ВСУкам связь на этом участке.,0.0,1.0,1.0,0.0,0.0
18,"Вы, скорее всего, напишете ""опять"", но, по данным нашего источника, упавшая с московской многоэтажки школьница увлекалась аниме.",0.0,0.0,0.0,0.0,0.0
19,"Силы ЛНР при огневой поддержке российских сил вышли на рубеж Богуславка – Тельмаховка – Калиновка.  — Российские силы за прошедшие сутки взяли под контроль населённые пункты Приображенка, Комсомольское, Загорное, Дорожнянка, Решетиловское, Константиновка, Шевченко, Чубаревка, Пролетарское и Любимовка.  — Ударом высокоточного оружия большой дальности уничтожен склад боеприпасов в воинской части в Житомире, где хранились Javelin и NLAW.  — Cжимается кольцо окружения вокруг Мариуполя.",1.0,1.0,1.0,1.0,1.0
20,Мой золотой;),0.0,0.0,0.0,-1.0,-1.0
21,"Укронацики зачищены полностью, теперь местные жители могут выдохнуть.  @opersvodki",1.0,1.0,1.0,-1.0,-1.0
22,Число погибших от коронавируса во всем мире превысило 250 000.,0.0,0.0,0.0,-1.0,-1.0
23,"""Вот учитесь, хохлы, не бабки отмывать, а строить! <...> Вот это кацапы красавцы!""   Так очень непосредственный житель Мариуполя восторгался новым зданием Мариупольской больницы, которую русские построили за 3 месяца.",1.0,1.0,1.0,-1.0,-1.0
24,⭕️Армен Гаспарян в рубрике «Время Голованова»  Bild обвиняет немецкую редакцию RT в шпионаже за Навальным.,0.0,0.0,0.0,-1.0,-1.0
25,Подарки от подписчиков летят по позициям ВСУк.,-1.0,-1.0,-1.0,-1.0,-1.0
26,"Еще ряд заявлений Владимира Путина на ПМЭФ:    🔻Путин поручил запустить комплексную программу модернизации комплекса ЖКХ  🔻Президент предложил нарастить объем ресурсов на 10 млрд рублей ежегодно в 2023-2024 годах на программу комфортной городской среды.  🔻Путин поручил направить часть продовольственных экспортных пошлин на повышение уровня жизни в селе  🔻Байкал должен стать визитной карточкой внутреннего туризм  🔻Все сферы жизни в РФ должны быть выстроены на качественно новом технологическом уровне с использованием собственных решений  🔻Путин поручил выделить средства на развитие городов Дальнего Востока  🔻Благодаря технологиям РФ обладает гиперзвуковым оружием, аналогов которому до сих пор нет в мире  🔻Производить все и вся невозможно и не нужно, но Россия должна обладать критически важными технологиями  🔻Путин предложил запустить промышленную ипотеку под 5% годовых, право на нее получат предприятия, готовые построить новые производства  Подписаться на @truekpru",-1.0,-1.0,-1.0,-1.0,-1.0
27,Пресс-конференцию Путина в прямом эфире смотрели более 6 млн россиян - Mediascope,-1.0,-1.0,-1.0,-1.0,-1.0
28,"🍾🏢🤦🏻‍♂️В телеграм-каналах по поводу исчезновения Медведева ходили разные слухи: получил спортивную травму, отходит от операции, а может и просто отдыхает в Плесе с уточками...",-1.0,-1.0,-1.0,-1.0,-1.0
29,"Ну, во-первых спасибо за установочные данные, а во вторых, хлопцы это новый бизнес?   Е.Поддубный",-1.0,-1.0,-1.0,-1.0,-1.0
30,"Почему ""Роснано"" стало черной дырой в российском бюджете и что не так с нашим госкапитализмом  История с Чубайсом заставляет задуматься, все ли правильно в области инноваций и в управлении российскими госкомпаниями.",0.0,0.0,0.0,0.0,0.0
31,"⚡️В Болгарии не исключили, что возобновят закупки газа у России.",0.0,0.0,0.0,0.0,0.0
32,"В четырех регионах России с ноября заработает мобильное приложение, с помощью которого автомобилисты смогут оформить ДТП по европротоколу.",0.0,0.0,0.0,0.0,0.0
33,"Укро-бандеризация - это уже диагноз, который придётся лечить много лет, когда мы освободим Малороссию и Новороссию.",1.0,1.0,1.0,1.0,1.0
34,❗️❗️❗️ Илью Азара и Елизавету Нестерову из ОВД «Фили-Давыдково» всё-таки отпустили.,0.0,0.0,0.0,0.0,0.0
35,🎄31 декабря и 1 января отмечаем Blank New Year.,0.0,0.0,0.0,0.0,-1.0
36,У них выбор только один - сдаться в плен или отправиться к Бандере.,1.0,1.0,1.0,1.0,-1.0
37,"Участники беспорядков, которые произошли в Вашингтоне 6 января, намеревались ""схватить и убить выборных должностных лиц"".",1.0,1.0,1.0,1.0,-1.0
38,"И вот теперь бывший министр, который поднялся благодаря Чубайсу, отправляется в СИЗО. Неожиданный арест, до этого людей Чубайса тоже брали, но ему удавалось их отбивать.",0.0,0.0,0.0,0.0,-1.0
39,Абызов покинул Россию в конце прошлого года и почему-то вернулся после встречи Чубайса с Президентом Путиным. 5.,0.0,0.0,0.0,0.0,-1.0
40,"Глеб Корнилов и его мопс по кличке Чубася завоевали сердца не только российских пользователей Instagram и TikTok, но и иностранных.",0.0,0.0,0.0,0.0,0.0
41,"У хохлов нет своих героев, поэтому их приходится «воровать» у нас.",1.0,1.0,1.0,1.0,1.0
42,"Он-то правду о Бандере с трудом перенес, наверное еще и к психологу пойдет, снимать стресс.",1.0,1.0,1.0,1.0,1.0
43,"Маэстро из Хабаровска прислал в бот канала свой привет нашим братьям, уничтожающих укро нациков вна Украине!",1.0,1.0,1.0,1.0,1.0
44,"Прислал подписчик из небольшого польского городка, там пьяные хохлы гоняют поляков.",1.0,1.0,1.0,1.0,1.0
45,"Элла Памфилова сообщила, что если у ""Голоса"" есть документы по недобросовестным партиям или кандидатам (вчерашний доклад про политконсультантов), то с этим надо идти в следственные органы",0.0,0.0,0.0,0.0,0.0
46,"Говорят, что это было важным договорняком между Куликовым (нынешний руководитель РОСНАНО) и Чубайсом при одобрении Шувалова.",0.0,0.0,0.0,0.0,0.0
47,"​​Наблюдаю, какой восторг вызвал у укронаци размещенный на сайте ""Новой Почты"" (такой сервис доставки типа российского СДЭК) картинки с оскорблением в адрес русского корабля.",1.0,1.0,1.0,1.0,1.0
48,Вашу маму и там и тут показывают,1.0,1.0,1.0,1.0,1.0
49,Протестующие в Актау начали расходиться.,0.0,0.0,0.0,0.0,0.0
50,Появились новые кадры окутанного дымом жилого дома на Лиговском проспекте Площадь пожара составляет 1500 кв.м.,0.0,0.0,0.0,0.0,0.0
51,"❗️⚡️Повешен был его охранник, самого поклонника Гитлера с Бандерой везут в мешке на допрос - то ли в Москву, то ли в Донецк, не знаем.",1.0,1.0,1.0,1.0,1.0
52,"Друзья, включайте Zik в 19:00.",0.0,0.0,0.0,0.0,0.0
53,Жителей столичного региона сегодня и завтра ожидают очень жаркие дни — воздух может раскалиться до 34 градусов тепла.,0.0,0.0,0.0,0.0,0.0
54,"Путин заявил, что неонацизм живучая зараза, мы с ней боремся, а на Украине поддерживают.",1.0,1.0,1.0,1.0,1.0
55,"Придумали ему историю, культуру, литературу, вождей, самоопределение всунули в сало, борщ и горилку (чем больше сала, тем выше дух), приправили нацизмом да бандерами и эту отвратительную, кислую жвачку в рот всунули.",1.0,1.0,1.0,1.0,1.0
56,"Мосгорсуд сообщил РИА Новости, что 7 октября проверит законность включения ""Медузы"" в список иноагентов",0.0,0.0,0.0,0.0,0.0
57,"Что касается пресловутых националистических кричалок, которые так же будут радовать зрителей ЧЕ по футболу, как и часть экипировки украинских спортсменов, то это очередная попытка государственной киевской пропаганды закрепить в общественном сознании лозунг, который у многих на Украине и за ее пределами ассоциируется с Украинской повстанческой армией (УПА), С.Бандерой и их преступлениями в годы Второй мировой войны.",1.0,1.0,1.0,1.0,1.0
58,30 сентября Владимир Путин обвинил Запад в «откровенном сатанизме».,0.0,1.0,0.0,1.0,1.0
59,"Болгары встретили провокаторов в Софии с криками ""Бандеровцы""  ▶️ @smotri_media",1.0,1.0,1.0,1.0,1.0
60,Также в суд поступили поручительства от Чубайса и Тимаковой. https://govoritmoskva.ru/news/192877/,-1.0,-1.0,-1.0,-1.0,-1.0
61,"Хохлы (причем они сами это признают), стали полигоном для отработки большой войны информационной эры и естественно, что заинтересованные стороны, а точнее хозяева Киева очень хотят увидеть, что будет с подопытными крысами при срабатывании ядерной бомбы, а заодно посмотреть на реакцию человечества на данный инцидент.",-1.0,-1.0,-1.0,-1.0,-1.0
62,🌎Коронавирус в мире.,-1.0,-1.0,-1.0,-1.0,-1.0
63,"✈️ Московский аэропорт Шереметьево 23 июля возобновляет работу терминала С, туда из терминала В переведут международные рейсы «Аэрофлота».",-1.0,-1.0,-1.0,-1.0,-1.0
64,"Встретил человека на скутере, попросил довезти его до знака ""Волноваха"", но тот испугался: ""Ты что? Укропы кругом, застрелят обоих!"" И тут я увидел тетю Свету…  Подробнее — в материале Алексея Овчинникова  Подписаться на @truekpru",-1.0,-1.0,-1.0,-1.0,-1.0
65,До сих пор неизвестно сколько людей не могут попасть домой и на работу\учебу из-за закрытых пунктов пропуска на Донбассе.,0.0,0.0,0.0,1.0,1.0
66,"Ведь почти нет случаев когда сдавались в плен ИГИЛ, а чем хохлосвиньи лучше? - Пленных поменяют по своему усмотрению и вас не спросят, а потом они снова вернутся в строй.",1.0,1.0,1.0,1.0,1.0
67,В Троицке Челябинской области проигравший выборы депутат городского собрания Владимир Курилов после своего поражения решил отомстить неблагодарным избирателям и отсоединил местную колонку с водой от электричества.,0.0,1.0,0.0,1.0,0.0
68,"‼️🇺🇦🇩🇪Военные из США будут обучать в Германии по 2500 ВСУшников в месяц  Украинским солдатам стоило бы задуматься над вариантами, как навсегда остаться в Германии и избежать поездки на фронт.",1.0,1.0,1.0,1.0,1.0
69,"Грош нам всем цена, если хохлятская мразь сегодня не утонет в собственной крови.",1.0,1.0,1.0,1.0,1.0
70,"Нельзя отстранять всю сборную РФ от участия в Олимпийских играх – вице-президент IIHF  Нельзя отстранять всю сборную России от участия в зимних Олимпийских играх в южнокорейском Пхенчхане, заявил вице-президент Международной федерации хоккея (IIHF) финн Калерво Куммола.  ""Все олимпийская система находится в опасности.",0.0,0.0,0.0,0.0,0.0
71,"Какой-то странный вывод: если 54 члена ЕР дали свои подписи Ищенко для прохождения муниципального фильтра, значит «нет единства в рядах ЕР и часть краевой элиты не желает победы Кожемяко».",1.0,0.0,1.0,1.0,1.0
72,Теперь каждый взлет наших истребителей со стороны Белоруссии заставляет хохлов судорожно объявлять воздушную тревогу по всей стране.,1.0,1.0,1.0,1.0,1.0
73,"по встрече в Берлине Ермака, Козака и ко:  - начало в 14:00 по Киеву - и украинская и российская сторона закладывают для разговора аж 6 часов - Ермак постфактум даст брифинг в украинском посольстве в 20:00 по Киеву  что шесть часов будут обсуждать советники лидеров норманди - загадка   Ермак публично заявил, что будут касаться темы открытия КПП на линии, обмен пленными и безопасность   ни на какие компромиссы пока никто идти не собирается (это переговоры с ордло, признание «спутника» у наших граждан с той стороны для открытия кпп и тд)   единственное, что явно обсуждают и на что обращают внимание в Берлине - отзыв законопроекта о «переходном периоде в ОРДЛО» из рады  мол это шаг украинской власти с ожиданием таких же шагов от России  наблюдаем",1.0,1.0,1.0,1.0,1.0
74,"Уехавшая и рвущаяся назад, потому что доходы-то здесь, уехавшая и живущая на ренту отсюда (национализация - ау?!) или не уехавшая и продолжающая лаять в соцсетях, не взирая на плашку иноагента - честное слово - если б всю эту свору сменять на пару типа раскаившихся хохлов - да мы бы жили в прекрасной стране!",1.0,0.0,0.0,1.0,0.0
75,"А нациков, бандеровцев и шайтанов и след простыл.",1.0,1.0,1.0,1.0,1.0
76,"❗️На третьем реакторе АЭС ""Михама"" в Японии произошла утечка 7 тонн радиоактивной воды, сообщает информагентство Киодо.",0.0,1.0,0.0,0.0,1.0
77,🖥 Rutube планируют запустить уже сегодня.,0.0,0.0,0.0,0.0,0.0
78,"Встречайте!  Сериал «Ресторан ЧБК», 1 серия 🔥  Сегодня наши морпехи провели мастер-класс по кавказской кухне для многочисленных поваров всук  #такоекино #отморпехов #КФл #люлякисхохлятиной #меню",1.0,1.0,1.0,1.0,1.0
79,"Ребят, новый мемчик подъехал.",0.0,0.0,0.0,0.0,0.0
80,Украина должна быть зачищена от бандеровских выблядков!,1.0,1.0,1.0,1.0,1.0
81,"С наплывом украинских беженцев начался полный пиздец: заполнены все парковочные места, беженцы норовят занять полосу общественного транспорта и мешают работе городских служб, каждое воскресенье на площади Музейного квартала собираются тысячи майданутых, оставляя за собой не только тонны мусора, но и акустического шума.",1.0,1.0,1.0,1.0,1.0
82,"Новичок, чтобы ты заплакала",0.0,1.0,0.0,0.0,0.0
83,"Голоса клевещут, что посол США в Турции Дэвид Саттерфилд возглавит межведомственную делегацию для встречи с турецкими представителями на встрече в Анкаре на этой неделе, в ходе которой будут обсуждаться вопросы реализации совместной декларации от 17 октября",0.0,1.0,0.0,0.0,0.0
84,бляяяяя лол у Кашеваровой картинку увидел - хохлы натурально взяли мой пост и из этого сделали мем но на украинском  сука ебучие хохлы ничего своего  https://t.me/akashevarova/5193,1.0,1.0,1.0,1.0,1.0
85,В Москве за минувшие сутки скончались  75 пациентов с COVID-19.,0.0,0.0,0.0,0.0,0.0
86,"Историк Фурсов:  Я с 2014 года говорю, что укро-бандеровский нарыв должен быть вскрыт и чем скорее, тем лучше.",1.0,1.0,1.0,0.0,0.0
87,"И судя по соотношению выпущенных ракет к оставшимся живым ЗРК хохлов, далеко не все они попали в эти ЗРК. Если вообще попали.",1.0,1.0,1.0,1.0,1.0
88,Хохлы продолжают проходить кастинг на лучшую драматическую роль,0.0,0.0,0.0,1.0,1.0
89,"Главный редактор «Новой газеты» Дмитрий Муратов в интервью изданию ""Znak"":  — Что будет после сентябрьских выборов в Госдуму?  — Реакция на 6–10 лет.  — К президентским выборам будет ужесточение в смысле еще большей зачистки политического поля?  — Интернет-пространство всегда принадлежало тем, кто считал себя оппозицией или не оппозицией, а людьми с какими-то цифровыми демократическими взглядами.",0.0,0.0,0.0,0.0,0.0
90,Осталось ещё чуть-чуть и по нему снова можно будет ехать.  🔵Медведев бесподобен) предлагает Польше наше ПВО для защиты от кривых хохляцких ракет😂😂😂  🔵В честь памятной даты Волгоград переименовывали в Сталинград вчера.  🔵Вот уж точно потрясающий повод для гордости – медики Бурденко научились печатать конечности на 3D-принтере!  🔵Ещё один Нурмагомедов покоряет ринги Запада без единого поражения.   🔵В Курской и Воронежской областях прошли ледяные дожди.  🔵Ну а на Камчатке сразу два вулкана проснулись.,-1.0,-1.0,-1.0,-1.0,-1.0
91,"В Кремле поддерживают настрой на то, что нужно в целом освобождать Украину от всевозможных проявлений неонацисских настроений, это необходимо.",-1.0,-1.0,-1.0,-1.0,-1.0
92,"🙄Папа римский Франциск пустил слезу, когда упомянул Украину во время молитвы в Риме",-1.0,-1.0,-1.0,-1.0,-1.0
93,"Разговор с Владленом Татарским о войне 22-года, «хохлах-петухах» и прочих тонкостях сегодняшней ситуации.  @elpicahielo  https://m.youtube.com/watch?v=DXVfyHzL970&feature=youtu.be",-1.0,-1.0,-1.0,-1.0,-1.0
94,"Пленные всушники жалуются, что несут тяжёлые потери.",-1.0,-1.0,-1.0,-1.0,-1.0
95,Как глянец пришёл в Россию   Первым номером западного глянца в России стал Cosmopolitan в мае 1994 года с Синди Кроуфорд на обложке.,0.0,0.0,0.0,1.0,0.0
96,⚡️Запросы людей должны найти отражение в федеральном бюджете на ближайшую трехлетку — Путин,0.0,0.0,0.0,0.0,0.0
97,"Снятие ограничений может привести к нескольким случаям суперраспространения коронавируса, когда один человек заражает сразу много людей.",0.0,0.0,1.0,1.0,0.0
98,"Если бы птица летела жопой вперёд, хохлы бы сказали, что просто ветер сильный.",1.0,1.0,1.0,1.0,1.0
99,"Хочу привлечь внимание к чёткому анализу нынешней международной обстановки академика Александра Огановича Чубарьяна, опубликованному в журнале ""Историк"".",0.0,0.0,1.0,0.0,0.0
